ID_Temps,ID_Condition,Temperature,Humidite,Vitesse_Vent
56827,25,13.91,0.77,32.22
7427,35,12.36,0.71,13.73
17612,9,15.81,0.68,2.83
59242,12,13.87,0.65,7.94
6882,9,25.37,0.51,3.22
29291,12,9.03,0.87,11.17
13090,15,17.76,0.45,4.23
35001,12,17.22,0.37,25.76
6889,9,17.22,0.44,14.49
20889,9,22.78,0.31,11.5
32612,12,11.98,0.61,3.51
27486,12,7.78,0.71,8.05
29594,9,16.11,0.87,4.83
37459,9,22.12,0.74,16.95
24498,12,16.11,0.84,3.22
55928,15,16.67,0.75,11.27
29599,9,6.11,0.79,4.83
55303,35,7.22,0.79,0.0
40512,11,-0.56,0.96,3.22
56224,21,-2.9,0.83,14.26
22715,13,0.09,0.99,17.66
1064,12,5.0,1.0,11.27
2290,9,1.67,0.85,6.44
37469,21,-3.84,0.78,12.77
35319,23,-2.81,0.79,4.4
46096,9,20.0,0.93,0.0
28384,12,13.99,0.93,8.44
49309,9,27.22,0.44,12.88
52623,12,27.78,0.43,16.1
34730,12,22.78,0.62,24.15
46386,12,25.0,0.58,16.1
34732,15,6.11,0.76,12.88
8931,9,8.89,0.66,3.22
22736,9,5.56,0.69,24.41
17085,9,13.89,0.67,24.15
46717,13,7.22,0.93,6.44
49957,13,4.44,0.96,6.44
57166,9,10.0,0.86,14.49
51448,9,5.0,0.86,11.27
47023,12,7.22,0.93,3.22
1719,15,2.22,0.85,14.49
28117,15,2.78,0.89,0.0
17095,12,16.94,0.65,8.58
15591,9,23.89,0.48,20.93
20936,12,15.56,0.67,6.44
52942,12,25.0,0.36,4.83
9519,12,17.78,0.52,17.71
2037,12,17.11,0.32,11.17
27213,9,12.78,0.76,11.08
43179,15,6.69,0.88,11.21
23345,35,9.28,0.93,17.84
23633,12,7.2,0.86,12.3
36274,12,13.87,0.66,12.35
8658,9,28.61,0.57,9.11
21550,9,18.72,0.95,4.4
16224,12,17.76,0.94,3.22
40561,15,16.51,0.99,5.83
50870,33,-6.06,0.91,10.66
17109,13,2.18,1.0,4.06
30228,9,8.48,0.94,12.08
11639,9,11.2,0.86,16.94
47629,13,0.51,0.92,17.79
37512,13,1.12,0.92,10.72
43479,9,4.86,0.83,17.0
27836,21,-3.37,0.89,6.63
2050,35,0.05,0.86,8.57
43192,24,-0.07,0.92,0.14
22169,11,-4.42,0.84,3.27
14049,23,-7.26,0.88,4.6
40847,9,23.79,0.78,12.8
6620,9,25.18,0.64,13.75
25735,9,22.15,0.68,15.2
28139,35,14.92,0.99,6.46
17680,35,21.07,0.72,15.3
58987,15,31.91,0.36,11.72
40001,9,19.84,0.56,23.91
29680,9,1.19,0.76,11.08
44954,14,7.22,0.38,33.44
57809,9,6.06,0.54,26.26
55365,12,7.8,0.47,11.21
56601,23,-5.17,0.75,7.62
33869,9,21.86,0.66,11.4
16833,3,10.16,0.9,31.3
45280,9,17.61,0.66,10.34
26335,35,17.78,0.73,7.97
27565,12,23.81,0.58,26.79
55691,9,10.99,0.62,15.38
50296,9,10.88,0.67,13.36
55694,9,2.72,0.9,10.79
201,9,2.68,0.89,4.56
23375,9,17.07,0.49,9.11
27248,15,5.59,0.99,5.1
42603,15,14.61,0.98,4.07
45872,14,17.71,0.61,29.93
6644,35,14.84,0.91,16.81
17705,12,18.66,0.65,14.33
18617,13,13.22,0.96,6.38
40597,35,11.16,0.66,15.47
46457,35,8.9,0.79,5.88
34189,9,17.11,0.34,8.94
32054,9,13.31,0.64,10.45
48777,15,4.71,0.95,6.7
34782,25,13.98,0.45,35.76
57221,12,36.06,0.31,2.72
37240,9,22.67,0.67,8.65
51517,23,-2.51,0.88,7.97
7826,15,1.55,0.77,6.52
12313,21,-2.78,0.77,11.03
44681,9,3.84,0.65,27.58
27591,11,-2.76,0.88,6.3
32998,12,0.93,0.69,14.88
35756,24,-4.96,0.92,3.32
3647,12,15.98,0.93,0.0
47101,9,22.16,0.69,3.19
16293,24,-2.17,1.0,4.75
47394,12,14.99,0.9,11.27
12640,15,0.18,0.93,2.93
28480,9,1.36,0.76,6.41
25796,24,-4.63,0.92,3.19
42928,13,1.07,0.93,3.22
44698,24,-2.08,1.0,4.64
32087,9,8.78,0.78,24.2
15679,12,5.41,0.85,5.35
17749,13,7.85,1.0,7.82
16882,35,11.64,0.75,10.72
38829,12,8.92,0.64,21.78
16002,9,11.02,0.81,28.18
6371,35,8.37,0.85,23.07
54236,12,21.03,0.42,7.53
28820,12,26.0,0.47,9.34
28200,15,17.64,0.61,7.86
38834,15,8.85,0.78,6.44
880,12,25.88,0.35,21.64
46800,12,18.73,0.62,11.21
34235,14,7.22,0.41,33.81
17755,12,7.76,0.68,14.97
54241,12,13.89,0.2,22.54
28203,12,27.78,0.33,11.27
40346,15,27.22,0.34,22.54
4541,12,15.05,0.71,16.86
39421,9,8.73,0.46,29.09
25497,12,22.78,0.37,7.97
50648,15,15.9,0.57,2.33
36687,9,27.82,0.28,1.19
33033,12,20.04,0.81,6.3
54243,12,22.76,0.73,3.2
10212,15,14.76,0.71,10.22
30889,21,-6.06,0.75,17.11
16897,35,2.2,0.86,27.58
17192,35,2.78,0.96,6.52
19853,9,7.66,0.96,7.31
45643,35,6.62,0.96,10.66
32431,33,-0.01,0.84,17.26
15386,23,-3.01,0.96,6.15
53043,11,-12.22,0.73,12.88
50070,21,-2.84,0.92,19.5
10220,24,-10.0,0.84,12.88
17196,11,-12.21,0.88,3.56
52739,11,-7.22,0.67,17.71
11118,24,-20.78,0.8,4.43
23154,23,0.0,0.92,11.27
57272,12,5.02,0.69,14.28
1836,24,-1.25,0.89,10.27
43275,9,2.78,0.76,12.88
50077,21,-0.35,0.82,11.14
46526,15,20.48,0.77,3.35
5757,9,21.46,0.56,24.91
2453,12,25.12,0.53,15.83
32445,9,24.93,0.54,23.3
32110,35,18.92,0.97,11.27
31804,12,22.74,0.5,10.95
8458,12,27.29,0.52,9.34
44451,9,16.04,0.63,11.16
3386,9,9.88,0.5,3.65
51275,35,17.78,0.28,27.37
32454,14,13.8,0.4,37.8
45943,12,17.19,0.47,10.8
24355,9,17.22,0.58,12.88
15053,12,17.78,0.6,11.27
36388,12,28.92,0.29,3.4
24939,9,8.11,0.89,13.86
57295,35,9.47,0.95,3.22
43581,9,20.12,0.4,25.31
5462,13,8.27,0.99,3.32
27348,12,10.63,0.71,11.11
39775,35,5.0,0.93,11.13
45048,15,31.13,0.36,11.17
58507,12,18.75,0.91,10.16
23173,9,23.9,0.61,9.63
32473,13,6.23,0.99,8.68
12393,24,-0.49,0.96,6.05
17803,9,7.12,0.96,3.14
53692,15,2.91,0.96,11.16
41239,24,-3.89,0.84,8.42
53391,9,2.27,0.82,20.88
58525,33,-11.21,0.74,7.89
46853,12,28.89,0.41,4.43
29782,12,22.29,0.76,1.77
39494,12,17.6,0.71,9.02
32152,15,19.07,0.77,1.53
59419,9,20.96,0.81,13.4
41560,15,22.07,0.77,1.11
2171,12,26.27,0.68,12.04
55814,12,22.31,0.81,3.22
15082,9,17.24,0.99,3.27
38594,9,27.38,0.51,16.07
15084,13,10.03,0.96,3.43
4601,15,18.82,0.97,6.58
39803,35,1.06,0.92,25.34
14480,15,0.2,0.81,10.34
50712,12,11.75,0.77,12.49
30072,12,19.98,0.61,11.4
320,12,10.31,0.95,2.98
27372,12,23.74,0.42,5.35
17251,9,12.13,0.91,11.27
31549,9,13.59,0.92,14.88
55491,9,20.06,0.53,13.35
32166,9,22.17,0.54,8.65
21693,12,17.95,0.77,10.08
9100,35,17.07,0.64,5.65
23200,35,10.59,0.94,6.65
3432,35,11.22,0.93,13.72
10285,12,16.12,0.51,13.83
46868,15,6.67,0.86,6.39
54023,12,7.85,0.78,6.49
25573,9,10.58,0.93,6.65
22008,12,16.11,0.56,12.86
32171,13,7.2,0.93,11.19
30084,12,7.96,0.7,9.79
15454,15,16.13,0.52,11.14
27701,12,7.32,0.96,3.14
43618,9,9.85,0.82,3.72
53112,12,17.17,0.26,21.77
10875,12,15.39,0.84,6.18
19333,9,12.81,0.95,5.12
24982,12,11.33,0.78,27.98
46872,15,8.89,0.93,0.0
54895,9,18.74,0.62,10.19
19337,9,14.1,0.93,3.86
18133,12,22.26,0.61,9.37
52,13,12.76,0.99,3.22
54313,9,17.78,0.6,26.9
3753,12,17.18,0.44,5.38
57058,12,5.02,0.7,14.04
5181,9,19.98,0.24,1.3
59443,12,4.84,0.77,5.88
8815,12,16.21,0.27,9.69
37359,9,21.22,0.63,20.67
32827,9,17.66,0.79,10.4
968,12,25.83,0.51,22.4
14791,9,24.22,0.65,11.16
49194,9,32.64,0.3,9.69
13624,12,18.37,0.64,3.56
53127,9,21.02,0.6,15.49
973,9,26.09,0.44,14.39
42173,15,16.45,0.86,2.17
38319,21,-4.01,0.81,17.45
49198,33,-9.18,0.84,2.98
6160,13,2.82,0.96,11.5
40154,24,-3.94,0.92,3.22
40155,11,-3.87,0.84,0.0
43924,11,-4.91,0.89,7.95
14196,24,-4.03,0.92,3.12
32193,12,12.27,0.57,12.25
21126,9,1.07,0.78,13.86
38327,35,0.16,0.85,4.54
43033,9,12.89,0.54,17.34
16987,12,15.0,0.62,5.06
44814,15,5.09,0.75,15.36
2215,9,22.82,0.34,17.44
33737,15,13.57,0.68,4.67
43045,15,32.24,0.18,5.06
22040,9,21.06,0.64,10.95
26798,35,14.77,0.82,9.72
55862,12,15.05,0.68,16.1
7107,15,12.05,0.93,7.78
59165,9,26.53,0.4,9.0
6810,15,17.74,0.9,4.99
58570,12,23.84,0.25,11.35
34638,12,16.93,0.65,5.73
22348,9,16.04,0.87,9.76
7109,12,15.36,0.88,6.49
50487,35,8.68,0.84,12.62
44251,15,8.26,0.68,10.98
48937,35,9.44,0.63,16.94
54341,15,24.56,0.4,25.36
18782,35,14.23,0.51,23.6
27118,9,16.07,0.85,3.48
25017,13,0.92,0.86,8.84
29544,35,2.18,0.86,4.78
35896,13,4.69,0.93,3.86
55542,9,13.66,0.66,14.23
57088,13,6.29,0.93,8.19
15500,9,8.88,0.89,7.89
46032,13,11.19,0.93,7.68
41030,12,8.04,0.88,9.45
3160,12,10.08,0.83,9.14
17014,12,17.67,0.57,12.33
55892,12,13.73,0.78,3.03
43372,14,12.27,0.61,33.29
6191,9,17.24,0.58,21.93
26825,35,11.02,0.8,7.7
3171,35,12.44,0.51,23.63
26522,15,20.93,0.65,11.03
2240,15,25.35,0.43,6.52
2241,15,11.84,0.85,4.64
28626,12,13.75,0.9,3.48
35265,12,32.83,0.34,12.67
10633,9,8.79,0.72,23.1
35921,15,0.58,0.73,17.76
29251,13,0.11,0.92,15.33
52244,24,-1.09,0.92,9.37
50785,12,6.08,0.65,2.3
5875,12,4.5,0.7,10.95
55255,24,-6.64,0.88,13.99
47261,4,7.33,0.65,42.17
54972,12,7.1,0.35,24.05
6849,21,-7.29,0.8,10.85
14243,12,27.27,0.54,14.18
1027,12,27.07,0.29,23.86
25659,12,22.71,0.42,20.69
19707,12,25.16,0.61,9.08
45170,15,24.84,0.55,2.09
16450,12,22.58,0.58,7.44
21477,12,6.74,0.69,20.69
113,9,6.04,0.65,14.51
17329,9,13.98,0.48,27.69
35612,15,16.2,0.39,10.88
55269,9,4.91,0.52,20.35
7153,13,4.91,0.86,17.16
9462,15,8.88,0.76,11.06
52590,9,11.69,0.8,11.08
723,13,5.72,0.91,1.11
14572,12,11.18,0.71,9.03
2602,12,0.07,0.84,20.35
7420,9,9.37,0.93,3.08
20292,12,17.78,0.71,9.52
41658,9,21.17,0.53,10.98
31048,15,17.83,0.5,9.92
48416,9,12.11,0.87,14.02
11900,12,9.57,0.82,2.79
52276,12,4.96,0.93,1.59
49276,12,17.71,0.68,10.87
51130,12,17.78,0.43,11.27
13994,12,18.89,0.33,17.71
46358,12,15.0,0.36,25.76
49001,12,32.78,0.32,9.66
35002,9,22.99,0.57,14.17
30174,9,20.03,0.84,8.23
38720,12,31.11,0.32,20.93
23907,9,24.48,0.72,13.67
29598,12,23.84,0.69,11.4
53846,9,7.78,0.76,16.1
39921,15,3.33,0.92,3.22
24504,13,3.89,0.92,12.88
36230,3,2.22,0.75,28.98
4998,21,-0.16,0.86,26.07
20026,9,0.09,0.69,13.07
14604,11,-1.11,0.88,12.88
56849,12,2.22,0.72,9.66
13724,9,7.22,0.55,17.71
17948,13,2.78,0.96,11.27
49605,9,5.0,0.96,14.49
47878,15,24.67,0.6,3.22
41686,17,33.89,0.39,28.98
9822,9,15.56,0.78,0.0
22732,12,23.89,0.45,14.49
55316,9,27.12,0.46,12.86
45813,9,13.85,0.82,4.06
39936,9,27.78,0.25,11.27
7759,9,3.33,0.89,11.27
41089,21,-1.51,0.75,3.27
17372,15,27.22,0.34,14.49
9834,12,11.67,0.9,6.44
37489,15,25.0,0.32,17.71
10400,9,16.94,0.53,17.57
48733,12,12.76,0.9,2.08
455,9,8.35,0.84,10.03
22449,9,15.03,0.93,10.85
7773,12,6.11,0.7,11.27
38126,12,27.22,0.37,11.27
32649,12,19.93,0.58,8.47
55037,15,11.79,0.7,11.4
3263,12,7.22,0.86,4.83
49643,35,12.03,0.75,8.71
17099,12,14.14,0.68,2.77
31383,12,26.09,0.54,12.08
55658,9,23.73,0.84,3.2
12848,9,23.06,0.8,13.78
43183,9,24.95,0.5,12.45
31700,12,21.2,0.56,9.08
14637,35,21.34,0.78,20.35
2935,12,2.74,0.96,4.2
54741,35,7.26,0.93,21.57
30231,9,0.34,0.9,11.21
26621,13,7.11,0.93,12.51
48473,15,1.42,0.88,4.73
16814,21,-3.04,0.74,3.17
50268,9,1.06,0.9,13.97
5979,11,-0.02,0.92,7.91
27842,23,-1.53,0.67,5.2
43481,23,-3.79,0.75,7.49
49049,21,-2.01,0.8,14.25
35375,12,25.07,0.61,15.58
1742,15,16.72,0.99,6.42
4762,12,32.89,0.43,10.85
52051,12,24.62,0.7,9.16
36904,9,20.42,0.9,14.35
49053,35,18.81,0.9,13.83
5664,12,13.86,0.93,15.2
49674,12,16.02,0.59,8.68
45277,12,18.96,0.33,11.24
31114,9,11.72,0.6,13.85
12284,12,1.02,0.65,13.86
50598,3,8.89,0.93,36.66
34767,12,26.2,0.43,17.0
44071,9,15.96,0.82,13.22
7230,9,19.92,0.63,15.58
37852,12,12.94,0.93,6.38
17412,9,17.8,0.6,14.33
28769,12,8.32,0.9,9.92
50298,14,10.0,0.93,29.69
47960,13,5.03,1.0,4.7
49372,12,3.6,0.95,6.36
6332,9,7.06,0.93,15.28
24565,33,-1.22,0.96,10.9
15318,12,7.19,0.71,3.2
5682,13,12.38,1.0,0.0
50911,13,7.21,1.0,3.22
18024,9,16.83,0.82,22.78
11065,35,11.62,0.96,16.6
53292,12,10.08,0.93,6.01
57524,9,22.22,0.81,10.8
6020,15,9.41,0.64,10.24
6021,35,10.95,0.68,9.85
7249,9,11.58,0.81,6.44
10473,35,9.93,0.96,0.0
25768,37,16.2,0.27,45.13
46463,9,21.21,0.73,12.88
6345,12,32.07,0.42,14.12
9574,9,17.2,0.87,14.01
9002,24,-2.64,1.0,7.63
30561,9,0.43,0.84,16.0
16584,35,2.85,0.89,11.06
26360,24,0.0,0.99,10.48
29087,11,-3.89,0.83,12.56
56316,11,-3.34,0.95,10.51
40609,35,0.12,0.75,4.86
55721,24,-1.81,0.95,10.95
3928,12,4.03,0.79,14.02
11080,9,2.89,0.96,12.22
40316,12,6.14,0.86,10.77
18935,11,-1.99,0.99,11.59
57840,24,-7.09,0.96,3.43
6352,23,-6.17,1.0,9.13
9301,15,19.33,0.86,6.42
26980,15,10.52,0.95,4.44
2693,9,19.88,0.75,10.32
49089,12,15.09,0.87,8.52
5394,12,16.15,0.78,14.02
47989,12,15.85,0.95,5.97
5088,35,16.62,1.0,3.22
57843,9,16.91,0.93,3.56
33000,9,19.68,0.88,10.13
38201,12,16.47,0.89,4.57
47099,12,27.16,0.54,20.38
52405,12,17.81,0.99,14.28
11698,12,17.18,0.78,15.91
56030,24,-1.67,1.0,10.59
29406,35,13.96,0.93,10.95
59616,15,13.87,0.66,10.59
15356,12,23.88,0.52,10.61
58452,12,26.08,0.48,6.73
6364,12,27.21,0.46,5.65
57858,13,2.67,0.96,7.87
19833,15,6.61,0.63,12.25
18661,35,1.62,0.79,3.19
26390,24,-2.78,0.87,2.95
49100,15,13.58,0.53,12.54
48808,9,20.22,0.52,26.71
26394,12,11.06,0.35,15.6
5730,12,19.93,0.38,26.23
45005,9,16.18,0.44,12.67
30003,9,15.91,0.46,16.47
31460,12,24.09,0.32,3.75
26396,9,15.0,0.42,3.27
10791,12,16.57,0.85,5.72
22838,12,13.57,0.68,7.52
3355,15,14.88,0.45,13.7
55417,15,18.56,0.74,3.08
12656,12,10.0,0.81,11.25
22550,12,27.22,0.32,12.88
50065,35,1.14,0.96,13.46
53962,13,1.02,1.0,3.27
1489,9,1.47,0.94,6.78
24922,11,-1.36,0.99,4.12
51259,24,-12.39,0.84,4.65
21046,24,-7.22,0.92,11.27
21639,21,0.0,0.58,20.93
36374,24,-1.67,0.92,6.44
24928,9,2.79,0.66,25.21
59386,9,22.73,0.73,20.54
1501,12,27.73,0.4,15.75
10818,12,25.0,0.54,10.74
21950,12,29.89,0.35,20.66
28218,12,22.17,0.43,23.84
4562,12,26.04,0.27,16.97
33049,9,5.0,0.86,11.27
54548,21,-5.0,0.84,14.49
13264,12,20.0,0.61,14.49
18698,9,17.22,0.67,8.05
29165,12,9.98,0.77,15.62
53987,9,10.09,0.82,10.92
29466,25,12.22,0.75,30.77
3061,9,14.86,0.6,5.12
1521,35,11.58,0.96,6.44
33677,9,16.02,0.78,18.06
16342,9,15.02,0.87,4.67
48859,24,-0.13,0.93,1.0
14457,24,0.0,0.93,9.26
15425,12,0.05,0.82,9.71
2778,13,1.69,0.94,1.85
23766,12,6.64,0.87,13.96
53694,13,2.89,0.96,13.51
54005,9,1.24,0.9,17.52
42143,9,2.16,0.92,12.74
38268,33,-2.13,0.41,27.9
35530,33,-2.78,0.48,23.57
30938,33,-1.04,0.92,9.39
22903,24,-1.08,0.92,7.6
50106,11,-0.65,0.92,3.28
4591,9,4.93,0.71,15.83
27672,35,0.58,0.92,6.99
44481,23,-4.91,0.57,12.91
55813,12,31.02,0.39,15.65
6431,15,15.11,0.8,6.44
48875,9,19.32,0.96,3.36
15437,15,19.42,0.9,3.12
16947,12,27.11,0.61,7.81
33691,12,20.9,0.95,3.17
4597,15,23.87,0.54,9.58
53397,12,24.04,0.44,13.65
40692,12,31.24,0.46,3.54
48605,35,0.62,0.9,3.51
10279,33,-3.82,0.85,2.8
38898,9,1.84,0.62,24.25
10570,15,10.0,0.58,20.74
57630,12,10.28,0.82,11.08
1259,9,6.89,0.86,9.6
6758,33,-4.1,0.7,15.1
15757,9,12.88,0.84,6.96
22616,12,20.6,0.61,12.38
38606,12,17.47,0.55,3.83
58541,12,17.81,0.5,1.55
45981,9,12.15,0.87,6.99
5489,35,6.15,0.87,9.43
25267,13,7.89,0.96,11.22
33096,15,5.94,0.93,3.09
37971,13,4.44,0.96,0.0
18424,15,9.93,0.89,4.77
28901,15,6.73,0.96,3.2
48618,9,17.71,0.84,4.7
6450,9,15.04,0.93,11.43
9690,9,1.09,0.82,11.13
9106,15,20.09,0.44,9.74
42456,12,11.67,0.81,10.98
960,15,21.06,0.46,14.33
15106,15,7.22,0.93,3.22
22015,15,15.27,0.79,10.38
56432,12,25.07,0.54,9.68
54315,15,8.97,0.7,3.57
22026,12,19.44,0.81,11.16
36775,12,19.76,0.74,10.5
17269,9,4.14,0.81,12.85
15119,11,-2.1,0.89,10.82
4905,33,-6.25,0.88,0.0
5827,24,-8.7,0.88,3.17
58845,11,-5.03,0.89,3.2
44233,24,-5.06,0.86,4.11
37366,12,7.13,0.97,6.44
35881,13,6.58,0.97,1.84
14200,9,5.64,0.82,20.01
22336,12,7.78,0.76,10.71
51049,35,7.91,0.63,10.58
44811,12,7.53,0.92,9.16
39837,15,2.93,0.83,1.11
2819,15,5.13,0.93,11.7
43928,17,8.38,0.71,29.24
30395,12,1.23,0.85,20.3
9131,12,27.29,0.37,4.25
16107,12,25.53,0.5,6.46
9730,9,27.32,0.39,4.94
27726,12,26.9,0.41,7.44
7668,12,30.07,0.37,15.97
11510,9,12.24,0.8,1.95
37696,9,25.89,0.36,16.39
58571,9,25.99,0.35,16.81
10614,9,20.09,0.78,7.76
51650,9,27.07,0.48,12.32
33425,35,7.78,0.89,3.36
27420,35,5.03,0.82,5.12
13030,35,6.66,0.77,12.99
43945,35,15.04,0.78,4.3
1001,12,25.14,0.54,7.6
54345,35,20.09,0.28,12.91
53767,9,3.46,0.8,24.75
1620,9,5.98,0.56,21.2
45464,15,2.04,0.65,16.36
8546,33,-3.85,0.88,3.65
30712,35,12.08,0.8,3.53
41312,35,10.1,0.71,3.22
17882,12,24.03,0.34,14.12
20249,35,2.71,0.81,11.21
53471,35,11.11,0.81,7.62
41616,35,13.77,0.64,9.74
48663,12,22.79,0.33,8.92
31008,12,8.75,0.8,3.22
56480,9,18.52,0.62,22.22
2237,12,14.08,0.62,2.74
55245,12,12.45,0.86,11.19
53169,35,13.04,0.47,14.8
2238,35,12.73,0.51,12.57
30132,9,7.64,0.83,3.24
17305,12,2.84,0.88,12.69
46930,15,35.96,0.3,24.94
58883,9,23.79,0.36,12.78
11856,12,30.04,0.37,4.8
57699,12,12.76,0.84,4.86
8568,25,7.18,0.43,32.23
35595,9,4.93,0.82,28.38
40468,12,6.02,0.76,16.1
43385,12,0.97,0.7,12.49
53178,5,-3.76,0.79,35.61
42504,23,-1.23,0.32,11.48
57703,9,6.02,0.7,3.4
42509,12,2.22,0.77,13.77
11555,13,6.21,0.96,10.75
39259,13,4.75,0.96,11.14
10944,11,-5.12,0.92,10.75
9774,9,2.2,0.79,2.95
393,9,2.32,0.8,3.08
14850,24,-1.0,0.99,15.17
30440,9,23.71,0.53,3.14
10948,35,12.78,0.95,14.51
40482,12,22.16,0.55,15.78
19401,15,15.14,0.77,10.01
29267,9,17.63,0.81,11.27
18821,9,18.67,0.79,7.82
7997,25,9.99,0.53,33.99
37749,12,4.99,0.69,8.34
27462,9,15.06,0.51,17.42
21175,9,12.98,0.59,13.67
31927,15,16.06,0.28,4.17
49571,35,7.2,0.6,22.02
16743,35,7.27,0.49,17.48
32590,9,17.89,0.45,14.18
29875,12,13.83,0.75,6.55
45500,12,22.8,0.48,17.53
48404,12,18.86,0.68,14.22
19408,12,17.82,0.51,9.77
57727,12,17.8,0.5,20.67
59514,35,13.07,0.74,13.97
47850,9,14.28,0.9,6.2
1671,12,18.88,0.65,3.08
41070,13,12.15,0.86,7.36
34992,12,5.68,0.93,3.06
47562,35,9.69,0.81,11.04
31654,14,22.43,0.49,34.58
11897,12,10.97,0.75,14.31
11576,9,11.81,0.75,11.38
58029,9,19.98,0.5,14.35
23578,35,7.89,0.88,9.82
10081,12,18.24,0.64,5.75
15223,35,9.59,0.9,17.15
49584,9,9.51,0.89,7.36
3833,12,21.13,0.78,8.55
44877,35,13.06,0.7,13.46
24179,12,15.0,0.44,14.49
59522,9,17.22,0.37,25.76
29592,15,8.33,0.8,6.44
35953,12,18.89,0.73,9.66
12812,12,26.11,0.54,14.49
40223,12,33.89,0.28,9.66
52001,12,22.87,0.33,9.72
2894,9,19.47,0.62,6.3
58038,9,15.0,0.6,28.98
33196,9,2.78,0.76,28.98
18530,9,11.11,0.77,25.76
39005,35,3.89,0.73,3.22
49294,9,8.89,0.93,12.88
48436,21,-0.56,0.81,6.44
34112,9,3.89,0.64,3.22
10376,33,-2.22,0.85,6.44
33201,35,3.89,0.76,8.05
34118,33,-8.89,0.84,8.05
17947,13,0.03,0.93,13.8
36858,24,-1.11,1.0,0.0
8335,35,4.01,0.92,23.1
27798,35,3.84,0.99,9.9
45807,15,23.89,0.79,8.05
41083,12,27.22,0.51,12.88
34727,12,27.26,0.51,8.34
26268,15,33.89,0.25,4.83
32933,15,14.44,0.8,11.27
29315,12,15.0,0.83,8.05
